zone,country,scfd2_plant,scfd3_plant,match_score,canonical_name,beerometer_plant
APAC,China,Putian (New) Craft_TRPT,,,Putian (New) Craft_TRPT,
APAC,China,Putian (New)_PWH,,,Putian (New)_PWH,
APAC,China,Putian (New)_TRPT,,,Putian (New)_TRPT,
APAC,China,Putian Museum,,,Putian Museum,
APAC,China,Quzhou,,,Quzhou,
APAC,China,Quzhou_PWH,,,Quzhou_PWH,
APAC,China,Quzhou_TRPT,,,Quzhou_TRPT,
APAC,China,SH Yanzhong_PWH,,,SH Yanzhong_PWH,
APAC,China,SH Yanzhong_TRPT,,,SH Yanzhong_TRPT,
APAC,China,Sanming,,,Sanming,
APAC,China,Sanming_PWH,,,Sanming_PWH,
APAC,China,Shanghai DC_Hub,,,Shanghai DC_Hub,
APAC,China,Shenyang,,,Shenyang,
APAC,China,Shiliang,Shiliang,1.0,Shiliang,Shiliang
APAC,China,Shiliang_PWH,,,Shiliang_PWH,
APAC,China,Shiliang_TRPT,,,Shiliang_TRPT,
APAC,China,Suqian,Suqian,1.0,Suqian,Suqian
APAC,China,Suqian_PWH,,,Suqian_PWH,
APAC,China,Suqian_TRPT,,,Suqian_TRPT,
APAC,China,Taiwan_VN,,,Taiwan_VN,
APAC,China,Tangshan 2,Tangshan 2,1.0,Tangshan 2,Tangshan 2
APAC,China,Tangshan 2_PWH,,,Tangshan 2_PWH,
APAC,China,Tangshan 2_TRPT,,,Tangshan 2_TRPT,
APAC,China,WH Aoruijin_PWH,,,WH Aoruijin_PWH,
APAC,China,WH Aoruijin_TRPT,,,WH Aoruijin_TRPT,
APAC,China,Wenzhou,Wenzhou,1.0,Wenzhou,
APAC,China,Wenzhou New,Wenzhou New,1.0,Wenzhou New,Wenzhou
APAC,China,Wenzhou(New)_PWH,,,Wenzhou(New)_PWH,
APAC,China,Wenzhou(New)_TRPT,,,Wenzhou(New)_TRPT,
APAC,China,Wenzhou_PWH,,,Wenzhou_PWH,
APAC,China,Wenzhou_TRPT,,,Wenzhou_TRPT,
APAC,China,Wugang,Wugang,1.0,Wugang,Wugang
APAC,China,Wugang_PWH,,,Wugang_PWH,
APAC,China,Wugang_TRPT,,,Wugang_TRPT,
APAC,China,Wuhan,Wuhan,1.0,Wuhan,Wuhan
APAC,China,Wuhan Craft,Wuhan Craft,1.0,Wuhan Craft,
APAC,China,Wuhan RPB,Wuhan RPB,1.0,Wuhan RPB,
APAC,China,Wuhan-Craft,,,Wuhan-Craft,
APAC,China,Wuhan_PWH,,,Wuhan_PWH,
APAC,China,Wuhan_TRPT,,,Wuhan_TRPT,
APAC,China,Xiaogan,,,Xiaogan,Xiaogan
APAC,China,Xiaogan_PWH,,,Xiaogan_PWH,
APAC,China,Xinxiang,Xinxiang,1.0,Xinxiang,Xinxiang
APAC,China,Xinxiang_PWH,,,Xinxiang_PWH,
APAC,China,Xinxiang_TRPT,,,Xinxiang_TRPT,
APAC,China,Xinyang,Xinyang,1.0,Xinyang,Xinyang
APAC,China,Xinyang_PWH,,,Xinyang_PWH,
APAC,China,Xinyang_TRPT,,,Xinyang_TRPT,
APAC,China,Yancheng,,,Yancheng,
APAC,China,Yancheng_PWH,,,Yancheng_PWH,
APAC,China,Yanji,Yanji,1.0,Yanji,Yanji
APAC,China,Yanji_PWH,,,Yanji_PWH,
APAC,China,Yanji_TRPT,,,Yanji_TRPT,
APAC,China,Yingkou,Yingkou,1.0,Yingkou,Yingkou
APAC,China,Yingkou-SC,,,Yingkou-SC,
APAC,China,Yingkou_PWH,,,Yingkou_PWH,
APAC,China,Yingkou_TRPT,,,Yingkou_TRPT,
APAC,China,Yinpu,,,Yinpu,
APAC,China,Yinpu_PWH,,,Yinpu_PWH,
APAC,China,Yinpu_TRPT,,,Yinpu_TRPT,
APAC,China,Zhangzhou,Zhangzhou,1.0,Zhangzhou,Zhangzhou
APAC,China,Zhangzhou_PWH,,,Zhangzhou_PWH,
APAC,China,Zhangzhou_TRPT,,,Zhangzhou_TRPT,
APAC,China,Zhenxin,,,Zhenxin,
APAC,China,Ziyang,Ziyang,1.0,Ziyang,Ziyang
APAC,China,Ziyang_PWH,,,Ziyang_PWH,
APAC,China,Ziyang_TRPT,,,Ziyang_TRPT,
APAC,Hong Kong,Export from APAC,,,Export from APAC,
APAC,Hong Kong,Export from China (Foshan),,,Export from China (Foshan),
APAC,Hong Kong,Export from China (Wuhan),,,Export from China (Wuhan),
APAC,Hong Kong,Export from EU,,,Export from EU,
APAC,Hong Kong,Export from EU~11,,,Export from EU~11,
APAC,Hong Kong,Export from Korea,,,Export from Korea,
APAC,Hong Kong,Export from MA,,,Export from MA,
APAC,Hong Kong,Export from MA~11,,,Export from MA~11,
APAC,Hong Kong,Export from NA,,,Export from NA,
APAC,Hong Kong,Export from NA~8,,,Export from NA~8,
APAC,Hong Kong,Export from Vietnam,,,Export from Vietnam,
APAC,India,ABBPL,Gurdaspur- ABBPL,1.0,ABBPL,ABBPL
APAC,India,Aurangabad,Aurangabad - Fosters,1.0,Aurangabad,Aurangabad
APAC,India,Aurangabad,Aurangabad - PALS Breweries,1.0,Aurangabad,Aurangabad
APAC,India,,Bangalore - Amrut Distilleries,,Bangalore - Amrut Distilleries,
APAC,India,Blossom,,,Blossom,
APAC,India,CBL,,,CBL,
APAC,India,CDBL,,,CDBL,
APAC,India,Chalakudy,,,Chalakudy,
APAC,India,Charminar,Sangareddy - Charminar - CBL,1.0,Charminar,Charminar
APAC,India,DC Bhiwandi,,,DC Bhiwandi,
APAC,India,DC Bilaspur,,,DC Bilaspur,
APAC,India,DC Chandigarh,,,DC Chandigarh,
APAC,India,DC Dehradun,,,DC Dehradun,
APAC,India,DC Delhi,,,DC Delhi,
APAC,India,DC Depot-Delhi,,,DC Depot-Delhi,
APAC,India,DC Gurugram,,,DC Gurugram,
APAC,India,DC Guwahati,,,DC Guwahati,
APAC,India,DC Hapur,,,DC Hapur,
APAC,India,DC Indore,,,DC Indore,
APAC,India,DC Lucknow,,,DC Lucknow,
APAC,India,DC Pondicherry,,,DC Pondicherry,
APAC,India,Daman-C,,,Daman-C,
APAC,India,ECB,,,ECB,
APAC,India,Export from APAC,,,Export from APAC,
APAC,India,Export from EU,,,Export from EU,
APAC,India,Export from EU~12,,,Export from EU~12,
APAC,India,Export from MA,,,Export from MA,
APAC,India,Export from MA~12,,,Export from MA~12,
APAC,India,,Goa - John Distilleries,,Goa - John Distilleries,Fosters
APAC,India,Gwalior,,,Gwalior,
APAC,India,HBL,,,HBL,
APAC,India,Hyderabad,,,Hyderabad,Hyderabad
APAC,India,,IN14,,IN14,
APAC,India,Import,,,Import,
APAC,India,Imports,,,Imports,
APAC,India,India HQ,,,India HQ,
APAC,India,India Import DC,,,India Import DC,
APAC,India,Intersco,,,Intersco,
APAC,India,Intrazone,,,Intrazone,
APAC,India,Intrazone~9,,,Intrazone~9,
APAC,India,,Kolkata-Celebrity-ABI (lessee),,Kolkata-Celebrity-ABI (lessee),
APAC,India,MBL-New,,,MBL-New,
APAC,India,MP,,,MP,
APAC,India,Malabar,,,Malabar,
APAC,India,Meerut,,,Meerut,Meerut
APAC,India,,Meerut-Central Distillery-CDBL,,Meerut-Central Distillery-CDBL,
APAC,India,,Mumbai JNPT - ABI Customs WH,,Mumbai JNPT - ABI Customs WH,
APAC,India,NESA,,,NESA,
APAC,India,Neemrana,,,Neemrana,
APAC,India,PALS,,,PALS,
APAC,India,PIL,,,PIL,
APAC,India,PUNJAB-C,,,PUNJAB-C,
APAC,India,Paradeep,,,Paradeep,
APAC,India,Pondicherry,,,Pondicherry,
APAC,India,Pune,Pune - Pushpam,1.0,Pune,
APAC,India,RBL,,,RBL,
APAC,India,SBPL,,,SBPL,
APAC,India,SICA,,,SICA,
APAC,India,SPR,Mysore - SPR Distilleries,1.0,SPR,Mysore
APAC,India,SRB-C,,,SRB-C,
APAC,India,,Sangareddy - Crown Telangana,,Sangareddy - Crown Telangana,
APAC,India,Sonipat,,,Sonipat,Sonipat
APAC,India,,Sonipat-Harayana Breweries-HBL,,Sonipat-Harayana Breweries-HBL,
APAC,India,Tripti,,,Tripti,
APAC,India,WB-C,,,WB-C,Celebrity
APAC,Japan,Export from EU,,,Export from EU,
APAC,Japan,Export from EUROPE,,,Export from EUROPE,
APAC,Japan,Export from EU~13,,,Export from EU~13,
APAC,Japan,Export from MA,,,Export from MA,
APAC,Japan,Export from MA~13,,,Export from MA~13,
APAC,Japan,Export from Middle Americas,,,Export from Middle Americas,
APAC,Japan,Export from NA,,,Export from NA,
APAC,Japan,Export from NA~9,,,Export from NA~9,
APAC,Japan,HongKong,,,HongKong,
APAC,Japan,Import from South Korea,,,Import from South Korea,
APAC,Japan,Intersco,,,Intersco,
APAC,Japan,Intrazone,,,Intrazone,
APAC,Japan,Intrazone~10,,,Intrazone~10,
APAC,Japan,JP - Japan,,,JP - Japan,
APAC,Japan,Japan,,,Japan,
APAC,Japan,Japan HQ,,,Japan HQ,
APAC,New Zealand,Export from MA,,,Export from MA,
APAC,New Zealand,Export from MA~14,,,Export from MA~14,
APAC,New Zealand,Harvest,,,Harvest,
APAC,New Zealand,Import/Export,,,Import/Export,
APAC,New Zealand,Intersco,,,Intersco,
APAC,New Zealand,Intrazone~16,,,Intrazone~16,
APAC,New Zealand,NZ - New Zealand,,,NZ - New Zealand,
APAC,New Zealand,NZ - New Zealand LOGS,,,NZ - New Zealand LOGS,
APAC,New Zealand,New Zealand,,,New Zealand,
APAC,Sea,Other SEA,,,Other SEA,
APAC,South Korea,Cheongwon,Cheongwon,1.0,Cheongwon,Cheongwon
APAC,South Korea,DC Busan,,,DC Busan,
APAC,South Korea,DC Changwon,,,DC Changwon,DC Changwon
APAC,South Korea,DC Cheongju,,,DC Cheongju,
APAC,South Korea,DC Chuncheon,,,DC Chuncheon,DC Chuncheon
APAC,South Korea,DC Chungju,,,DC Chungju,DC Chungju
APAC,South Korea,DC DGO-H&M,,,DC DGO-H&M,
APAC,South Korea,DC Daegu,,,DC Daegu,DC Daegu
APAC,South Korea,DC Daejeon,,,DC Daejeon,DC Daejeon
APAC,South Korea,DC East Busan,,,DC East Busan,DC Busan
APAC,South Korea,DC Gangneung,,,DC Gangneung,DC Gangneung
APAC,South Korea,DC Gumi,,,DC Gumi,DC Gumi
APAC,South Korea,DC Gunpo,,,DC Gunpo,DC Gunpo
APAC,South Korea,DC Gwangju,,,DC Gwangju,DC Gwangju
APAC,South Korea,DC Gwangju Mokdong,,,DC Gwangju Mokdong,
APAC,South Korea,DC Gyungin,,,DC Gyungin,DC Gyungin
APAC,South Korea,DC IH Hub,,,DC IH Hub,
APAC,South Korea,DC Icheon,,,DC Icheon,
APAC,South Korea,DC Incheon,,,DC Incheon,DC Incheon
APAC,South Korea,DC Jeju,,,DC Jeju,DC Jeju
APAC,South Korea,DC Jeonju,,,DC Jeonju,DC Jeonju
APAC,South Korea,DC Kangreung,,,DC Kangreung,
APAC,South Korea,DC Kyeongin,,,DC Kyeongin,
APAC,South Korea,DC Mokpo,,,DC Mokpo,DC Mokpo
APAC,South Korea,DC Namyangju,,,DC Namyangju,
APAC,South Korea,DC Osan,,,DC Osan,DC Osan
APAC,South Korea,DC Others-Bottle exchange,,,DC Others-Bottle exchange,
APAC,South Korea,DC Pocheon,,,DC Pocheon,
APAC,South Korea,DC Sacheon,,,DC Sacheon,DC Sacheon
APAC,South Korea,DC Sejong,,,DC Sejong,DC Sejong
APAC,South Korea,DC Suji,,,DC Suji,DC Suji
APAC,South Korea,DC Suncheon,,,DC Suncheon,DC Suncheon
APAC,South Korea,DC Ulsan,,,DC Ulsan,DC Ulsan
APAC,South Korea,DC West Busan,,,DC West Busan,
APAC,South Korea,DC Wonju,,,DC Wonju,DC Wonju
APAC,South Korea,Export Beer,,,Export Beer,
APAC,South Korea,Export from APAC,,,Export from APAC,
APAC,South Korea,Export from APAC South,,,Export from APAC South,
APAC,South Korea,Export from EU,,,Export from EU,
APAC,South Korea,Export from EUROPE,,,Export from EUROPE,
APAC,South Korea,Export from EU~15,,,Export from EU~15,
APAC,South Korea,Export from MA,,,Export from MA,
APAC,South Korea,Export from MA~16,,,Export from MA~16,
APAC,South Korea,Export from Middle Americas,,,Export from Middle Americas,
